contrast,metric,scope,n,mean_diff,ci_lo,ci_hi,p_raw,direction_consistent,family,p_adj
transformer_cl/ewckd - transformer_cl/cat,clean MCC,CICIoT,5,-0.4084300209761569,-0.5120816794849945,-0.2825871617942952,0.0625,True,secondary,
transformer_cl/ewckd - transformer_cl/cat,clean MCC,TONIoT,5,-0.6788148645514586,-0.7036235601500571,-0.6585386540531573,0.0625,True,secondary,
transformer_cl/ewckd - transformer_cl/cat,clean MCC,STRATIFIED,15,-0.5331846205754832,,,9.99950002499875e-05,True,secondary,0.0032998350082495873
transformer_cl/ewckd/noAT - transformer_cl/cat,average accuracy,CICIoMT,5,-0.4655600000000001,-0.4918800000000001,-0.4302,0.0625,True,secondary,
transformer_cl/ewckd/noAT - transformer_cl/cat,average accuracy,CICIoT,5,-0.22429999999999994,-0.2686,-0.16075999999999996,0.0625,True,secondary,
transformer_cl/ewckd/noAT - transformer_cl/cat,average accuracy,TONIoT,5,-0.3567600000000001,-0.35868,-0.3546,0.0625,True,secondary,
transformer_cl/ewckd/noAT - transformer_cl/cat,average accuracy,STRATIFIED,15,-0.34887333333333337,,,4.999750012499375e-05,True,secondary,0.002049897505124744
transformer_cl/ewckd/noAT - transformer_cl/cat,clean MCC,CICIoMT,5,-0.48523852199176165,-0.5344534106594647,-0.44277055275197996,0.0625,True,secondary,
transformer_cl/ewckd/noAT - transformer_cl/cat,clean MCC,CICIoT,5,-0.35415726289807736,-0.46007830509551173,-0.21661354461722748,0.0625,True,secondary,
transformer_cl/ewckd/noAT - transformer_cl/cat,clean MCC,TONIoT,5,-0.725193449303061,-0.7353851459425976,-0.7167474045444955,0.0625,True,secondary,
transformer_cl/ewckd/noAT - transformer_cl/cat,clean MCC,STRATIFIED,15,-0.5215297447309667,,,4.999750012499375e-05,True,secondary,0.002049897505124744
transformer_cl/kd - transformer_cl/cat,average accuracy,CICIoMT,5,-0.4681,-0.49002000000000007,-0.43705999999999995,0.0625,True,secondary,
transformer_cl/kd - transformer_cl/cat,average accuracy,CICIoT,5,-0.1895,-0.23669999999999997,-0.1355,0.0625,True,secondary,
transformer_cl/kd - transformer_cl/cat,average accuracy,TONIoT,5,-0.35941999999999996,-0.36222000000000004,-0.35734,0.0625,True,secondary,
transformer_cl/kd - transformer_cl/cat,average accuracy,STRATIFIED,15,-0.3390066666666667,,,0.000199990000499975,True,secondary,0.004199790010499475
transformer_cl/kd - transformer_cl/cat,clean MCC,CICIoMT,5,-0.5073370557953687,-0.5413987420994346,-0.4722096121116244,0.0625,True,secondary,
transformer_cl/kd - transformer_cl/cat,clean MCC,CICIoT,5,-0.39529197531895754,-0.5096775878845905,-0.27950952611898927,0.0625,True,secondary,
transformer_cl/kd - transformer_cl/cat,clean MCC,TONIoT,5,-0.6712991192740146,-0.6996281339717085,-0.6546257953505661,0.0625,True,secondary,
transformer_cl/kd - transformer_cl/cat,clean MCC,STRATIFIED,15,-0.5246427167961136,,,0.00024998750062496874,True,secondary,0.004249787510624469
transformer_cl/replay - transformer_cl/cat,average accuracy,CICIoMT,5,-0.32055999999999996,-0.38022,-0.26668,0.0625,True,secondary,
transformer_cl/replay - transformer_cl/cat,average accuracy,CICIoT,5,-0.36463999999999996,-0.4548,-0.27243999999999996,0.0625,True,secondary,
transformer_cl/replay - transformer_cl/cat,average accuracy,TONIoT,5,-0.55318,-0.55996,-0.5472600000000002,0.0625,True,secondary,
transformer_cl/replay - transformer_cl/cat,average accuracy,STRATIFIED,15,-0.4127933333333333,,,9.99950002499875e-05,True,secondary,0.0032998350082495873
transformer_cl/replay - transformer_cl/cat,clean MCC,CICIoMT,5,-0.2716063326885247,-0.3271519245882554,-0.21060461542484926,0.0625,True,secondary,
transformer_cl/replay - transformer_cl/cat,clean MCC,CICIoT,5,-0.028611147156381612,-0.2040222588904082,0.17357268255194663,0.8125,True,secondary,
